Date,Startup Name,Industry Vertical,City  Location,Amount in USD
2019-07-04,Daalchini Technologies,Food and Beverage,New Delhi,500000.00
2019-07-03,Ola Cabs,Transport,Kormangala,1000000.00
2019-07-02,RenewBuy,Finance,Gurgaon,19000000.00
2019-07-02,Atlan,Information Technology,Singapore,2500000.00
2019-07-01,WizCounsel,Compliance,New Delhi,145000.00
2019-07-01,Uniphore,Artificial Intelligence,Taramani,38080000.00
2019-06-10,Bolo App,Digital Media,Bengaluru,430200.00
2019-06-10,OkCredit,FinTech,Haryana,15500000.00
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,3584000.00
2019-06-06,Sistema.bio,Agriculture,Nairobi,2739034.68
2019-06-06,Chakr Innovation,Energy,New Delhi,26000000.00
2019-06-06,Pratilipi,Digital Media,Bengaluru,15109500.00
2020-06-06,Biz2Credit,FinTech,New York,52000000.00
2019-06-05,NoBroker,E-Commerce,Bengaluru,51000000.00
2019-06-04,Bira91,Food and Beverage,New Delhi,10000000.00
2019-06-04,BharatPe,Finance,New Delhi,75000000.00
2019-06-04,Recykal,Waste Management Service,Hyderabad,26000000.00
2019-06-04,Leegality,Services,Mumbai/Bengaluru,3400000.00
2019-06-03,FabHotels,E-Commerce,Gurgaon,4889975.54
2019-06-03,Avail Finance,Finance,Bengaluru,9000000.00
2019-06-03,Agara Labs,Deep-Tech,Bengaluru,2500000.00
2019-05-31,Bira91,Food and Beverage,New Delhi,5600000.00
2019-05-30,GlowRoad,E-commerce,Bengaluru,11500000.00
2019-05-28,Ather Energy,Automobile,Bengaluru,51000000.00
2019-05-28,FreshVnF,Agtech,Mumbai,140000000.00
2019-05-06,Ola Electric,Transport,Bengaluru,undisclosed
2019-05-06,Saahas Zero Waste,Waste Management Service,Bengaluru,868600.00
2019-05-05,StyleDotMe,E-commerce,Delhi,undisclosed
2019-05-02,Zenoti,Saas,Hyderabad,50000000.00
2019-05-01,BlackBuck,Transport,Bengaluru,150000000.00
2019-04-19,My Healthcare,E-commerce,Bengaluru and Gurugram,3000000.00
2019-04-19,KrazyBee,E-commerce,Bengaluru,14342000.00
2019-04-17,Shuttl,Transportation,Gurugram,5000000.00
2019-04-17,Increff,Technology,Bengaluru,3000000.00
2019-04-16,Kuvera,Finance,Bengaluru,45000000.00
2019-04-13,Tripoto,Social Media,New Delhi,3591375.00
2019-04-12,Medlife,E-commerce,Bengaluru,17000000.00
2019-04-12,Azah,Health and Wellness,Gurugram,200000.00
2019-04-11,Setu,Fintech,Bengaluru,3500000.00
2019-04-11,CleverTap,SaaS,Mumbai,26000000.00
2019-04-10,Kabadiwala,E-commerce,Bhopal,430665.00
2019-04-10,Toppr,Edtech,Mumbai,6320820.00
2019-04-10,Craftsvilla,E-commerce,Mumbai,2443495.00
2019-04-10,Unacademy,Edtech,Bengaluru,307000.00
2019-02-13,NanoClean Global,Nanotechnology,New Delhi,600000.00
2019-02-08,Zilingo,Ecommerce,India/Singapore,226000000.00
2019-02-01,FleetX,AI,Gurgaon,Undisclosed
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,India/US,22000000.00
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,5000000.00
2019-01-03,CarDekho,Automobile,Jaipur,110000000.00
