Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron,OpSys,Containers,BlockchainOrg,BlockchainIs
53,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ,,,,
53,HTML/CSS,HTML/CSS,MySQL,MySQL,Docker,Docker,Spring,Spring,Visual Studio Code,,,,
53,Java,Java,Oracle,PostgreSQL,,,,,,,,,
53,JavaScript,JavaScript,Redis,Redis,,,,,,,,,
53,PHP,SQL,,,,,,,,,,,
53,SQL,TypeScript,,,,,,,,,,,
53,TypeScript,,,,,,,,,,,,
54,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,Docker,AWS,Django,Django,IntelliJ,,,,
54,HTML/CSS,HTML/CSS,Firebase,Elasticsearch,Linux,Google Cloud Platform,React.js,React.js,PyCharm,,,,
54,JavaScript,JavaScript,PostgreSQL,Firebase,MacOS,Linux,,Vue.js,Sublime Text,,,,
54,Python,Python,SQLite,SQLite,,MacOS,,,Vim,,,,
54,,,,,,Microsoft Azure,,,,,,,
56,Bash/Shell/PowerShell,Java,MySQL,Cassandra,Heroku,AWS,Spring,Angular/Angular.js,IntelliJ,,,,
56,HTML/CSS,JavaScript,Oracle,DynamoDB,,Docker,,Django,Visual Studio Code,,,,
56,Java,Kotlin,,Elasticsearch,,Google Cloud Platform,,Express,,,,,
56,SQL,Python,,MariaDB,,Heroku,,React.js,,,,,
56,,Scala,,MongoDB,,Kubernetes,,Spring,,,,,
56,,TypeScript,,Redis,,Slack,,,,,,,
57,JavaScript,Elixir,Firebase,DynamoDB,Linux,AWS,React.js,React.js,Notepad++,,,,
57,Python,JavaScript,MongoDB,Firebase,Windows,Docker,,,Visual Studio Code,,,,
57,,Python,,MongoDB,,Google Cloud Platform,,,,,,,
57,,TypeScript,,Redis,,Kubernetes,,,,,,,
57,,,,,,Linux,,,,,,,
57,,,,,,Raspberry Pi,,,,,,,
60,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,Flask,Laravel,PHPStorm,,,,
60,Go,C++,Elasticsearch,MySQL,Docker,Docker,Laravel,Vue.js,Vim,,,,
60,JavaScript,Go,MariaDB,PostgreSQL,Kubernetes,Google Cloud Platform,React.js,Other(s):,Visual Studio Code,,,,
60,PHP,Kotlin,MySQL,Redis,,Kubernetes,Vue.js,,,,,,
60,Python,Python,Redis,,,Raspberry Pi,Other(s):,,,,,,
60,Ruby,TypeScript,Other(s):,,,Slack,,,,,,,
60,SQL,,,,,,,,,,,,
61,C++,Go,Firebase,PostgreSQL,Android,Arduino,ASP.NET,Laravel,Android Studio,,,,
61,C#,,Microsoft SQL Server,,Linux,Linux,Drupal,,Atom,,,,
61,HTML/CSS,,MySQL,,Raspberry Pi,Raspberry Pi,jQuery,,Eclipse,,,,
61,JavaScript,,Redis,,Windows,,Laravel,,NetBeans,,,,
61,PHP,,SQLite,,,,,,Notepad++,,,,
61,Python,,,,,,,,PyCharm,,,,
61,SQL,,,,,,,,Vim,,,,
61,VBA,,,,,,,,Visual Studio,,,,
61,,,,,,,,,Visual Studio Code,,,,
62,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Django,ASP.NET,Atom,,,,
62,C++,C,Microsoft SQL Server,MySQL,Linux,Docker,jQuery,Django,NetBeans,,,,
62,Go,C++,MySQL,Oracle,MacOS,Google Cloud Platform,React.js,Laravel,Notepad++,,,,
62,HTML/CSS,C#,Oracle,PostgreSQL,Microsoft Azure,Heroku,,React.js,PHPStorm,,,,
62,Java,HTML/CSS,PostgreSQL,SQLite,Raspberry Pi,iOS,,,PyCharm,,,,
62,JavaScript,Java,,,WordPress,Linux,,,Sublime Text,,,,
62,Kotlin,JavaScript,,,Other(s):,MacOS,,,Vim,,,,
62,PHP,PHP,,,,Microsoft Azure,,,Visual Studio,,,,
62,Python,Python,,,,Raspberry Pi,,,Visual Studio Code,,,,
62,Ruby,Ruby,,,,Slack,,,Xcode,,,,
62,SQL,SQL,,,,Windows,,,,,,,
62,TypeScript,Swift,,,,WordPress,,,,,,,
62,VBA,,,,,Other(s):,,,,,,,
67,C,C#,DynamoDB,Elasticsearch,AWS,Raspberry Pi,Angular/Angular.js,React.js,IntelliJ,,,,
67,C#,HTML/CSS,Microsoft SQL Server,MongoDB,,,Express,Ruby on Rails,Visual Studio Code,,,,
67,HTML/CSS,R,MySQL,Redis,,,jQuery,Vue.js,,,,,
67,Java,Rust,PostgreSQL,,,,,,,,,,
67,JavaScript,TypeScript,,,,,,,,,,,
67,PHP,,,,,,,,,,,,
67,Python,,,,,,,,,,,,
67,SQL,,,,,,,,,,,,
67,VBA,,,,,,,,,,,,
68,HTML/CSS,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Express,Express,Vim,,,,
68,Java,Go,Firebase,Elasticsearch,Google Cloud Platform,AWS,jQuery,jQuery,,,,,
68,JavaScript,HTML/CSS,,Firebase,Linux,Docker,React.js,React.js,,,,,
68,Python,Java,,Redis,MacOS,Google Cloud Platform,Vue.js,Vue.js,,,,,
68,,JavaScript,,,,Kubernetes,,,,,,,
68,,Kotlin,,,,Linux,,,,,,,
68,,Python,,,,MacOS,,,,,,,
68,,R,,,,Raspberry Pi,,,,,,,
68,,Scala,,,,,,,,,,,
68,,TypeScript,,,,,,,,,,,
68,,WebAssembly,,,,,,,,,,,
70,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++,,,,
70,HTML/CSS,HTML/CSS,,SQLite,,Arduino,jQuery,ASP.NET,Visual Studio,,,,
70,JavaScript,JavaScript,,,,Google Cloud Platform,,jQuery,Visual Studio Code,,,,
70,SQL,Python,,,,Microsoft Azure,,,,,,,
70,,SQL,,,,Raspberry Pi,,,,,,,
70,,TypeScript,,,,Windows,,,,,,,
71,HTML/CSS,C#,MariaDB,DynamoDB,Android,Android,Laravel,Angular/Angular.js,Visual Studio Code,,,,
71,JavaScript,HTML/CSS,MySQL,MySQL,Arduino,AWS,React.js,Django,,,,,
71,PHP,JavaScript,,Redis,AWS,iOS,,jQuery,,,,,
71,Python,PHP,,,Linux,MacOS,,Laravel,,,,,
71,SQL,Ruby,,,MacOS,Windows,,React.js,,,,,
71,VBA,SQL,,,Raspberry Pi,,,Ruby on Rails,,,,,
71,,,,,Windows,,,Vue.js,,,,,
74,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,Atom,,,,
74,Java,Kotlin,,,Linux,iOS,Spring,,IntelliJ,,,,
74,JavaScript,Python,,,MacOS,Linux,,,PyCharm,,,,
74,Kotlin,,,,Raspberry Pi,MacOS,,,Sublime Text,,,,
74,Python,,,,,Raspberry Pi,,,,,,,
74,Ruby,,,,,,,,,,,,
75,HTML/CSS,HTML/CSS,MongoDB,Elasticsearch,Heroku,AWS,Express,Express,Sublime Text,,,,
75,JavaScript,Java,,Firebase,,Docker,React.js,React.js,Visual Studio Code,,,,
75,,JavaScript,,MongoDB,,Heroku,,,,,,,
75,,Python,,,,Kubernetes,,,,,,,
75,,TypeScript,,,,,,,,,,,
76,PHP,Python,MariaDB,,AWS,,Other(s):,Other(s):,Notepad++,,,,
76,SQL,,MySQL,,,,,,PHPStorm,,,,
78,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express,Android Studio,,,,
78,Java,Java,,,Raspberry Pi,Raspberry Pi,jQuery,React.js,IntelliJ,,,,
78,JavaScript,JavaScript,,,,,React.js,Vue.js,Visual Studio Code,,,,
78,Kotlin,Kotlin,,,,,Vue.js,,,,,,
78,Python,Python,,,,,,,,,,,
80,Bash/Shell/PowerShell,F#,MongoDB,Couchbase,Docker,Docker,Angular/Angular.js,ASP.NET,IntelliJ,,,,
80,C#,Go,Microsoft SQL Server,MariaDB,Kubernetes,Google Cloud Platform,ASP.NET,Flask,PyCharm,,,,
80,F#,Python,,MongoDB,Linux,Kubernetes,Flask,Vue.js,Visual Studio,,,,
80,Go,Rust,,,Microsoft Azure,Linux,Vue.js,Other(s):,Visual Studio Code,,,,
80,HTML/CSS,,,,Windows,Microsoft Azure,,,,,,,
80,Java,,,,,Windows,,,,,,,
80,JavaScript,,,,,,,,,,,,
80,Python,,,,,,,,,,,,
80,SQL,,,,,,,,,,,,
80,TypeScript,,,,,,,,,,,,
83,HTML/CSS,Elixir,DynamoDB,Cassandra,AWS,AWS,Express,Express,Sublime Text,,,,
83,JavaScript,Go,Elasticsearch,DynamoDB,Docker,Docker,React.js,React.js,Vim,,,,
83,,HTML/CSS,MongoDB,MongoDB,Google Cloud Platform,MacOS,,Ruby on Rails,Visual Studio Code,,,,
83,,JavaScript,,MySQL,Linux,Slack,,Vue.js,,,,,
83,,Ruby,,Redis,MacOS,,,,,,,,
83,,TypeScript,,,Slack,,,,,,,,
83,,WebAssembly,,,Windows,,,,,,,,
84,C,C#,Firebase,Firebase,Android,Android,ASP.NET,,Android Studio,,,,
84,C++,Java,MySQL,MySQL,Windows,Windows,,,Visual Studio,,,,
84,C#,Kotlin,SQLite,Oracle,,,,,,,,,
84,Java,Objective-C,,SQLite,,,,,,,,,
84,Kotlin,,,,,,,,,,,,
84,PHP,,,,,,,,,,,,
84,SQL,,,,,,,,,,,,
86,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,Docker,Django,Django,Coda,,,,
86,C#,Go,MongoDB,MariaDB,Windows,Linux,Express,Flask,IPython / Jupyter,,,,
86,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,,Raspberry Pi,Flask,jQuery,Notepad++,,,,
86,JavaScript,JavaScript,MySQL,MySQL,,Windows,jQuery,Vue.js,Sublime Text,,,,
86,PHP,Python,Redis,Redis,,,Vue.js,Other(s):,Vim,,,,
86,Python,Rust,SQLite,SQLite,,,,,Visual Studio Code,,,,
86,SQL,SQL,,,,,,,,,,,
87,Bash/Shell/PowerShell,Go,Microsoft SQL Server,,Android,AWS,Django,Django,Android Studio,,,,
87,C,HTML/CSS,,,AWS,Docker,React.js,React.js,PyCharm,,,,
87,C++,JavaScript,,,Docker,Linux,Spring,,Vim,,,,
87,C#,Kotlin,,,iOS,MacOS,,,Visual Studio Code,,,,
87,Go,Python,,,Linux,,,,,,,,
87,HTML/CSS,,,,MacOS,,,,,,,,
87,Java,,,,Slack,,,,,,,,
87,JavaScript,,,,Windows,,,,,,,,
87,Objective-C,,,,,,,,,,,,
87,Python,,,,,,,,,,,,
87,SQL,,,,,,,,,,,,
90,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Android,Android,React.js,React.js,Android Studio,,,,
90,C#,C#,Firebase,MySQL,Docker,Docker,Ruby on Rails,Ruby on Rails,IntelliJ,,,,
90,HTML/CSS,JavaScript,MySQL,PostgreSQL,Google Cloud Platform,iOS,,,RubyMine,,,,
90,Java,Objective-C,SQLite,Redis,iOS,Kubernetes,,,Vim,,,,
90,JavaScript,Ruby,,,,,,,Visual Studio Code,,,,
90,Objective-C,SQL,,,,,,,Xcode,,,,
90,PHP,Swift,,,,,,,,,,,
90,Python,TypeScript,,,,,,,,,,,
90,Ruby,,,,,,,,,,,,
90,SQL,,,,,,,,,,,,
90,Swift,,,,,,,,,,,,
90,TypeScript,,,,,,,,,,,,
92,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,,,Other(s):,Spring,IntelliJ,,,,
92,Java,Java,,,,,,Other(s):,,,,,
92,JavaScript,Kotlin,,,,,,,,,,,
92,Kotlin,SQL,,,,,,,,,,,
92,SQL,,,,,,,,,,,,
92,VBA,,,,,,,,,,,,
94,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Android,ASP.NET,ASP.NET,Notepad++,,,,
94,HTML/CSS,C,,,Windows,Arduino,jQuery,jQuery,Visual Studio,,,,
94,JavaScript,C++,,,,Microsoft Azure,,,Visual Studio Code,,,,
94,SQL,C#,,,,Raspberry Pi,,,,,,,
94,,HTML/CSS,,,,Windows,,,,,,,
94,,JavaScript,,,,,,,,,,,
94,,Objective-C,,,,,,,,,,,
94,,SQL,,,,,,,,,,,
95,C#,C#,Microsoft SQL Server,Redis,AWS,AWS,Angular/Angular.js,,Notepad++,,,,
95,HTML/CSS,JavaScript,PostgreSQL,,Docker,Docker,,,PyCharm,,,,
95,JavaScript,Python,,,Linux,Linux,,,RStudio,,,,
95,Python,SQL,,,Windows,Windows,,,Vim,,,,
95,R,,,,,,,,Visual Studio,,,,
95,SQL,,,,,,,,,,,,
97,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,Linux,Linux,Flask,Flask,Atom,,,,
97,JavaScript,JavaScript,,,MacOS,MacOS,,,IPython / Jupyter,,,,
97,Python,Python,,,,,,,PyCharm,,,,
97,R,R,,,,,,,RStudio,,,,
97,SQL,SQL,,,,,,,Vim,,,,
100,HTML/CSS,C,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,Vim,,,,
100,JavaScript,C++,Redis,Redis,Docker,Docker,jQuery,jQuery,,,,,
100,Ruby,Elixir,,,Linux,Linux,React.js,React.js,,,,,
100,SQL,HTML/CSS,,,Windows,Windows,Ruby on Rails,Ruby on Rails,,,,,
100,TypeScript,JavaScript,,,,,,,,,,,
100,,Ruby,,,,,,,,,,,
100,,SQL,,,,,,,,,,,
100,,TypeScript,,,,,,,,,,,
102,C#,C,Microsoft SQL Server,MongoDB,Microsoft Azure,AWS,ASP.NET,Angular/Angular.js,Notepad++,,,,
102,HTML/CSS,C++,,PostgreSQL,,Kubernetes,jQuery,Vue.js,Visual Studio,,,,
102,JavaScript,Elixir,,SQLite,,Microsoft Azure,React.js,,Visual Studio Code,,,,
102,SQL,Go,,,,,Other(s):,,,,,,
102,TypeScript,Ruby,,,,,,,,,,,
102,,WebAssembly,,,,,,,,,,,
104,C#,TypeScript,Microsoft SQL Server,Couchbase,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++,,,,
104,HTML/CSS,,,,,Docker,ASP.NET,,Visual Studio,,,,
104,TypeScript,,,,,Microsoft Azure,jQuery,,Visual Studio Code,,,,
109,C#,C#,MongoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET,Notepad++,,,,
109,HTML/CSS,HTML/CSS,MySQL,MongoDB,Docker,Docker,jQuery,jQuery,Visual Studio,,,,
109,JavaScript,JavaScript,Oracle,MySQL,Kubernetes,Kubernetes,,,Visual Studio Code,,,,
109,SQL,SQL,,,Windows,Windows,,,,,,,
110,Python,Python,Cassandra,Cassandra,,Android,,Flask,IPython / Jupyter,,,,
110,SQL,SQL,Other(s):,Elasticsearch,,,,,Visual Studio Code,,,,
110,,,,Other(s):,,,,,,,,,
111,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Android,ASP.NET,Angular/Angular.js,Visual Studio,,,,
111,C#,C#,Oracle,Oracle,Windows,Windows,jQuery,ASP.NET,,,,,
111,HTML/CSS,HTML/CSS,,,,,,jQuery,,,,,
111,JavaScript,JavaScript,,,,,,,,,,,
111,Python,Python,,,,,,,,,,,
111,SQL,SQL,,,,,,,,,,,
111,VBA,VBA,,,,,,,,,,,
114,Bash/Shell/PowerShell,JavaScript,MySQL,MongoDB,Docker,AWS,Laravel,Django,PHPStorm,,,,
114,C++,Python,Redis,Redis,Linux,Docker,Other(s):,Flask,Vim,,,,
114,Erlang,,Other(s):,,,Kubernetes,,Laravel,,,,,
114,JavaScript,,,,,Linux,,React.js,,,,,
114,PHP,,,,,,,Vue.js,,,,,
114,Python,,,,,,,Other(s):,,,,,
115,Assembly,HTML/CSS,Firebase,Firebase,Android,Android,ASP.NET,Express,Android Studio,,,,
115,C#,Java,MongoDB,MongoDB,Arduino,Docker,jQuery,React.js,IntelliJ,,,,
115,HTML/CSS,JavaScript,Microsoft SQL Server,SQLite,Docker,Google Cloud Platform,React.js,,Visual Studio,,,,
115,Java,SQL,MySQL,,Google Cloud Platform,MacOS,Spring,,Visual Studio Code,,,,
115,JavaScript,,,,iOS,Slack,,,,,,,
115,SQL,,,,MacOS,Windows,,,,,,,
115,Swift,,,,Slack,,,,,,,,
115,,,,,Windows,,,,,,,,
115,,,,,WordPress,,,,,,,,
